?ԍ?,?s???{??,?????L?ƎҐ?15_19??,?????L?ƎҐ?20_24??,?????L?ƎҐ?25_29??,?????L?ƎҐ?30_34??,?????̂??߂̏??????E?Ґ?15_24??,?玙?E?o?Y?̂??߂̏??????E?Ґ?15_24??,?????̂??߂̏??????E?Ґ?25_34??,?玙?E?o?Y?̂??߂̏??????E?Ґ?25_34??,???????E??,???l??,?T_?X?ΐl??,?U?T?Έȏ??l??,?ېőΏۏ???,?[?ŋ`???Ґ?_??????,?????,???l???????ېőΏۏ???
1,?k?C??,21100,79900,90400,99800,2500,2600,15900,24600,15.65934066,5320000,198000,1632000,6722967905,2297502,30.67669173,2926.20764
2,?X??,4600,15400,19600,24700,400,600,1600,4200,10.57542768,1278000,46000,407000,1415254830,530055,31.84663537,2670.015055
3,???茧,2600,14900,20600,24100,100,300,1800,4300,10.45016077,1255000,48000,400000,1460469707,537647,31.87250996,2716.410037
4,?{?錧,7900,39600,50100,49000,400,1300,2800,8100,8.594815825,2323000,94000,631000,3171546331,1028883,27.1631511,3082.514077
5,?H?c??,2800,10500,14800,17000,100,100,2100,2100,9.756097561,996000,34000,354000,1074359527,411370,35.54216867,2611.662316
6,?R?`??,3200,13300,19000,21700,300,400,1500,3600,10.13986014,1102000,43000,355000,1308504808,487388,32.21415608,2684.729226
7,??????,5200,22200,31100,33800,500,1200,3900,7100,13.75947996,1882000,71000,569000,2474781296,847804,30.23379384,2919.048856
8,???錧,12500,40100,48700,53900,800,2000,5100,11500,12.5,2892000,119000,819000,4117614963,1319302,28.31950207,3121.055651
9,?Ȗ،?,6400,27500,35400,37200,300,1900,4000,8800,14.08450704,1957000,82000,536000,2770673181,899829,27.3888605,3079.110788
10,?Q?n??,7500,28300,33800,37600,300,1300,4000,8600,13.24626866,1960000,81000,567000,2691959245,885362,28.92857143,3040.518167
11,???ʌ?,41400,137800,145500,140600,1600,2500,15500,34200,11.56243284,7310000,303000,1900000,11656251925,3460482,25.99179207,3368.3897
12,???t??,33000,108200,124600,125600,1100,4900,10400,28200,11.39499234,6246000,254000,1692000,10260150814,2962523,27.08933718,3463.315159
13,?????s,55100,290000,376500,374600,1800,3500,25400,49700,7.334428024,13724000,512000,3160000,30627744312,6938897,23.02535704,4413.921162
14,?_?ސ쌧,50700,164700,188500,183700,900,7000,23800,41400,12.44043567,9159000,378000,2274000,16926910573,4457358,24.828038,3797.520992
15,?V????,7200,28000,38600,44400,700,1100,4200,8500,12.26734349,2267000,90000,709000,2856137650,1028599,31.27481253,2776.726061
16,?x?R??,2600,13700,19200,20100,200,200,1800,2700,8.81294964,1056000,41000,334000,1508206997,517272,31.62878788,2915.694252
17,?ΐ쌧,3700,18700,23000,22800,300,500,1800,3500,8.944281525,1147000,49000,331000,1630808782,539835,28.85789015,3020.939328
18,???䌧,2400,10900,14300,16700,100,200,1200,2600,9.255079007,779000,34000,232000,1084440375,373320,29.7817715,2904.854749
19,?R????,2300,12300,13800,15200,300,300,1600,4300,14.90825688,823000,33000,245000,1107366188,371659,29.7691373,2979.522057
20,???쌧,6000,23900,33500,37600,700,600,3300,8900,13.36633663,2076000,87000,647000,2770581723,948289,31.16570328,2921.663884
21,?򕌌?,7400,33800,33300,36500,200,700,3900,12200,15.31531532,2008000,88000,589000,2841523432,929791,29.33266932,3056.088338
22,?É???,11700,52800,66500,67100,900,1600,8500,15100,13.17516406,3675000,158000,1069000,5543557155,1772333,29.08843537,3127.830467
23,???m??,39700,139200,157000,154400,1200,4400,19100,38800,12.95125433,7525000,342000,1852000,12943802563,3584260,24.61129568,3611.290075
24,?O?d??,7300,28600,32300,32700,400,1000,3800,8700,13.77601586,1800000,77000,522000,2593190439,825146,29,3142.704975
25,???ꌧ,7300,23500,27300,29500,400,800,4400,6000,13.24200913,1413000,68000,357000,2042999195,636532,25.26539278,3209.578144
26,???s?{,12800,49600,50900,53100,900,400,5700,10900,10.75721154,2599000,104000,743000,3692964674,1108339,28.58791843,3331.981166
27,?????{,46200,161700,185200,177300,3300,3700,23800,37600,11.99158485,8823000,358000,2399000,12691846678,3776567,27.19029808,3360.683573
28,???Ɍ?,16900,90500,101800,104400,700,2800,12600,21000,11.83035714,5503000,234000,1558000,8357230088,2418641,28.31182991,3455.34128
29,?ޗǌ?,5000,22500,23600,23700,200,700,3300,5400,12.8342246,1348000,55000,408000,1894247037,567010,30.26706231,3340.764778
30,?a?̎R??,3800,12600,15400,16200,200,300,1300,4000,12.08333333,945000,38000,304000,1141554254,386059,32.16931217,2956.942473
31,???挧,1600,7600,10000,11600,100,200,1200,2000,11.36363636,565000,24000,175000,651093279,243841,30.97345133,2670.155056
32,??????,1300,8400,11400,13500,200,200,1300,2000,10.69364162,685000,28000,230000,819562180,301280,33.57664234,2720.267459
33,???R??,6900,32400,38500,36600,300,1300,4100,7100,11.18881119,1907000,82000,567000,2500170308,839059,29.73256424,2979.731232
34,?L????,10500,46000,50700,53900,300,1800,7300,13700,14.33891993,2829000,126000,809000,4137315242,1284359,28.59667727,3221.307471
35,?R????,6000,18300,19900,23500,300,600,2300,6500,14.32791728,1383000,56000,462000,1772663986,604780,33.40563991,2931.088968
36,??????,2200,8200,12300,14400,200,200,1000,2300,9.973045822,743000,28000,241000,906084370,308595,32.43606999,2936.160242
37,???쌧,3000,12300,15700,17500,100,800,1800,4900,15.67010309,967000,40000,301000,1305881396,439588,31.12719752,2970.693913
38,???Q??,3900,16600,21800,25100,200,700,3300,6800,16.32047478,1364000,56000,437000,1622973511,562249,32.03812317,2886.574295
39,???m??,2500,8100,11000,13800,200,200,700,2300,9.604519774,714000,27000,244000,822281613,298536,34.17366947,2754.380085
40,??????,22400,89100,96900,105400,2200,2400,15900,25200,14.56341619,5107000,230000,1384000,6714980282,2165806,27.10005874,3100.453264
41,???ꌧ,3400,12900,14700,18100,100,500,1500,3100,10.59063136,824000,38000,240000,962997857,349268,29.12621359,2757.188912
42,???茧,3600,17300,23000,26300,100,100,3000,4300,10.68376068,1354000,58000,424000,1541144330,556327,31.31462334,2770.213076
43,?F?{??,6800,23500,32700,38600,1000,1100,3100,8100,13.09055118,1765000,81000,531000,1950981610,688023,30.08498584,2835.634288
44,?啪??,3900,15600,19600,21600,500,700,2800,5200,15.15650741,1152000,49000,367000,1353668417,480364,31.85763889,2818.005548
45,?{?茧,2800,13900,18800,22200,200,700,1800,4500,12.47833622,1089000,50000,338000,1182316205,441555,31.03764922,2677.619334
46,????????,4900,21200,29300,33100,100,1200,3100,7800,13.78531073,1626000,74000,501000,1758153045,640089,30.81180812,2746.732165
47,???ꌧ,6000,21200,30300,35300,400,1300,1200,8900,12.71551724,1443000,84000,303000,1491042924,540889,20.997921,2756.652333
