"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Çbçzã∆.çÃêŒã∆.çªóòçÃéÊã∆",1,47,299.76170212766,56.3458017154146,295.3,295.346153846154,42.84714,210.8,563.5,352.7,2.0521450864488,7.81986215491836,8.21887988816101
"Çcåöê›ã∆",2,47,316.891489361702,36.2917395666983,319.2,314.792307692308,36.76848,246.3,430.7,184.4,0.598336810931444,0.605576423678905,5.29369428334026
"Çdêªë¢ã∆",3,47,280.206382978723,33.4659814571994,277.1,278.258974358974,36.17544,220.9,382.1,161.2,0.748311503473508,1.051099575956,4.88151510072309
"ÇeìdãC.ÉKÉX.îMãüãã.êÖìπã∆",4,47,385.26170212766,35.1568383674684,383.4,385.628205128205,39.14064,309,466.6,157.6,-0.0392308139557469,-0.636046913615873,5.12815192956363
"ÇfèÓïÒí êMã∆",5,47,326.323404255319,33.0248668678221,327.6,326.766666666667,28.61418,242.3,408.1,165.8,-0.166850031227496,0.148120014215239,4.81717192489397
"Çgâ^óAã∆.óXï÷ã∆",6,47,266.58085106383,22.0154060513943,264.2,265.538461538462,20.0151,227.8,335,107.2,0.638109391529284,0.478190460470123,3.21127701650933
"ÇhâµîÑã∆.è¨îÑã∆",7,47,275.608510638298,30.0813955922437,268.5,272.525641025641,26.09376,232.2,377.4,145.2,1.10437792938742,1.15599093596815,4.38782251230743
"Çiã‡óZã∆.ï€åØã∆",8,47,339.512765957447,23.9172360717872,335.8,337.094871794872,20.0151,300.3,437.6,137.3,1.6215643563526,4.29241885082003,3.48868743626438
"ÇjïsìÆéYã∆.ï®ïií¿ë›ã∆",9,47,287.73829787234,33.8715319302308,282.8,285.671794871795,33.06198,234.6,387.2,152.6,0.661524654791374,0.0774845791371175,4.94067071702379
"Çkäwèpå§ãÜ.êÍñÂ.ãZèpÉTÅ[ÉrÉXã∆",10,47,331.33829787234,37.6551085118577,332,330.005128205128,38.10282,264.3,426.9,162.6,0.401432520772656,-0.259406414371206,5.49256208293442
"Çlèhîëã∆.à˘êHÉTÅ[ÉrÉXã∆",11,47,236.397872340426,22.2584374755488,235.6,234.569230769231,20.7564,201.6,332,130.4,1.57669993742009,5.00359686255539,3.24672679312734
"Çmê∂äàä÷òAÉTÅ[ÉrÉXã∆.å‚äyã∆",12,47,255.831914893617,21.9791710329791,253.8,254.728205128205,18.23598,217.6,307.8,90.2,0.486577998928623,-0.330508526857825,3.20599159585627
"Çnã≥àÁ.äwèKéxâáã∆",13,47,346.691489361702,35.4689872484292,340.6,343.974358974359,36.47196,287.4,438.2,150.8,0.707503596503234,-0.353588128721541,5.17368352343105
"Çoà„ó√.ïüéÉ",14,47,285.106382978723,22.4227020465315,284.6,284.464102564103,25.64898,243.5,338,94.5,0.21460810773541,-0.41729773118097,3.27068724337715
"Çpï°çáÉTÅ[ÉrÉXéñã∆",15,47,289.395744680851,21.9408687300446,286.6,287.217948717949,20.1633599999999,258.6,372.6,114,1.3781945509217,2.8559472116162,3.20040463076437
"ÇqÉTÅ[ÉrÉXã∆.ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ.",16,47,243.604255319149,20.6814867585019,240,242.012820512821,21.34944,213.9,310.9,97,0.884520246874462,0.742285309617205,3.0167048901927
